,freq,vals
165,0.0568,5.44748631159781
166,0.057,5.392234942757591
167,0.0572,5.462419113987059
168,0.0574,5.434793429566948
169,0.0576,5.446739671478348
170,0.0578,5.519910403185665
171,0.058,5.431060228969637
172,0.0582,5.555002488800398
173,0.0584,5.530363364858138
174,0.0586,5.566948730711797
175,0.0588,5.56172224987556
176,0.0589,5.560228969636635
177,0.0591,5.454206072672971
178,0.0593,5.49377799900448
179,0.0595,5.619213539074167
180,0.0597,5.504230960676954
181,0.0599,5.63265306122449
182,0.0601,5.571428571428571
183,0.0603,5.6729716276754605
184,0.0605,5.661772025883524
185,0.0607,5.734196117471379
