Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
6700.1,0.0153
6705.1,0.0149
6710.1,0.0146
6715.1,0.0146
6720.1,0.0145
6725.1,0.0143
6730.1,0.0142
6735.1,0.014
6740.1,0.0142
6745.1,0.0141
6750.1,0.0142
6755.1,0.014
6760.1,0.0142
6765.1,0.0139
6770.1,0.014
6775.1,0.0141
6780.1,0.0141
6785.1,0.0143
6790.1,0.0146
6795.1,0.0141
6800.1,0.0139
6805.1,0.0141
6810.1,0.0141
6815.1,0.0141
6820.1,0.014
6825.1,0.0142
6830.1,0.014
6835.1,0.014
6840.1,0.014
6845.1,0.014
6850.1,0.0138
6855.1,0.014
6860.1,0.0141
6865.1,0.0141
6870.1,0.0141
6875.1,0.0141
6880.1,0.0141
6885.1,0.0142
6890.1,0.0142
6895.1,0.0141
6900.1,0.0144
6905.1,0.0144
6910.1,0.0145
6915.1,0.0143
6920.1,0.0145
6925.1,0.0142
6930.1,0.0145
6935.1,0.0145
6940.1,0.0145
6945.1,0.0146
6950.1,0.0148
6955.1,0.0146
6960.1,0.0142
6965.1,0.0138
6970.1,0.0137
6975.1,0.0137
6980.1,0.0137
6985.1,0.0137
6990.1,0.0136
6995.1,0.0136
7000.1,0.0137
7005.1,0.0135
7010.1,0.0136
7015.1,0.0136
7020.1,0.0137
7025.1,0.0135
7030.1,0.0137
7035.1,0.0137
7040.1,0.0137
7045.1,0.0135
7050.1,0.0136
7055.1,0.0136
7060.1,0.0136
7065.1,0.0136
7070.1,0.0136
7075.1,0.0137
7080.1,0.0136
7085.1,0.0137
7090.1,0.0137
7095.1,0.0136
7100.1,0.0135
7105.1,0.0138
7110.1,0.0136
7115.1,0.0136
7120.1,0.0136
7125.1,0.0136
7130.1,0.0138
7135.1,0.0136
7140.1,0.0136
7145.1,0.0137
7150.1,0.0137
7155.1,0.0136
7160.1,0.0137
7165.1,0.0138
7170.1,0.0136
7175.1,0.0136
7180.1,0.0135
7185.1,0.0136
7190.1,0.0134
7195.1,0.0137
7200.1,0.0137
7205.1,0.0136
7210.1,0.0135
7215.1,0.0137
7220.1,0.0135
7225.1,0.0135
7230.1,0.0135
7235.1,0.0136
7240.1,0.0136
7245.1,0.0136
7250.1,0.0136
7255.1,0.0135
7260.1,0.0136
7265.1,0.0135
7270.1,0.0136
7275.1,0.0135
7280.1,0.0135
7285.1,0.0135
7290.1,0.0136
7295.1,0.0135
7300.1,0.0135
7305.1,0.0137
7310.1,0.0135
7315.1,0.0135
7320.1,0.0136
7325.1,0.0136
7330.1,0.0136
7335.1,0.0135
7340.1,0.0136
7345.1,0.0136
7350.1,0.0137
7355.1,0.0137
7360.1,0.0136
7365.1,0.0137
7370.1,0.0135
7375.1,0.0136
7380.1,0.0135
7385.1,0.0136
7390.1,0.0136
7395.1,0.0136
7400.1,0.0136
7405.1,0.0135
7410.1,0.0135
7415.1,0.0135
7420.1,0.0136
7425.1,0.0135
7430.1,0.0135
7435.1,0.0135
7440.1,0.0136
7445.1,0.0134
7450.1,0.0136
7455.1,0.0134
7460.1,0.0136
7465.1,0.0136
7470.1,0.0136
7475.1,0.0136
7480.1,0.0136
7485.1,0.0135
7490.1,0.0135
7495.1,0.0136
7500.1,0.0135
7505.1,0.0134
7510.1,0.0134
7515.1,0.0136
7520.1,0.0135
7525.1,0.0135
7530.1,0.0136
7535.1,0.0136
7540.1,0.0136
7545.1,0.0134
7550.1,0.0136
7555.1,0.0134
7560.1,0.0135
7565.1,0.0134
7570.1,0.0136
7575.1,0.0136
7580.1,0.0136
7585.1,0.0136
7590.1,0.0135
7595.1,0.0136
7600.1,0.0136
7605.1,0.0135
7610.1,0.0136
7615.1,0.0135
7620.1,0.0135
7625.1,0.0135
7630.1,0.0136
7635.1,0.0136
7640.1,0.0136
7645.1,0.0133
7650.1,0.0134
7655.1,0.0135
7660.1,0.0135
7665.1,0.0135
7670.1,0.0134
7675.1,0.0135
7680.1,0.0135
7685.1,0.0135
7690.1,0.0134
7695.1,0.0134
7700.1,0.0134
7705.1,0.0135
7710.1,0.0135
7715.1,0.0136
7720.1,0.0134
7725.1,0.0134
7730.1,0.0136
7735.1,0.0135
7740.1,0.0135
7745.1,0.0133
7750.1,0.0135
7755.1,0.0135
7760.1,0.0136
7765.1,0.0135
7770.1,0.0134
7775.1,0.0136
7780.1,0.0135
7785.1,0.0134
7790.1,0.0133
7795.1,0.0135
7800.1,0.0135
7805.1,0.0136
7810.1,0.0135
7815.1,0.0134
7820.1,0.0134
7825.1,0.0136
7830.1,0.0136
7835.1,0.0137
7840.1,0.0134
7845.1,0.0134
7850.1,0.0134
7855.1,0.0136
7860.1,0.0137
7865.1,0.0135
7870.1,0.0136
7875.1,0.014
7880.1,0.0139
7885.1,0.0136
7890.1,0.0135
7895.1,0.0136
7900.1,0.0135
7905.1,0.0137
7910.1,0.0134
7915.1,0.0136
7920.1,0.0134
7925.1,0.0137
7930.1,0.0136
7935.1,0.0137
7940.1,0.0135
7945.1,0.0136
7950.1,0.0134
7955.1,0.0134
7960.1,0.0134
7965.1,0.0135
7970.1,0.0134
7975.1,0.0136
7980.1,0.0134
7985.1,0.0134
7990.1,0.0135
