Wavelength(10nm),Signal_Amplitude(V)
4548.1,0.0194
4549.1,0.0193
4550.1,0.0194
4551.1,0.0202
4552.1,0.0211
4553.1,0.0215
4554.1,0.0215
4555.1,0.0212
4556.1,0.0208
4557.1,0.0199
4558.1,0.0193
4559.1,0.0192
4560.1,0.0192
4561.1,0.0189
4562.1,0.0188
4563.1,0.0185
4564.1,0.0183
4565.1,0.0183
4566.1,0.0188
4567.1,0.019
4568.1,0.0189
4569.1,0.0191
4570.1,0.0187
4571.1,0.0186
4572.1,0.0183
4573.1,0.0182
4574.1,0.0184
4575.1,0.0183
4576.1,0.0185
4577.1,0.0187
4578.1,0.0193
4579.1,0.0199
4580.1,0.0204
4581.1,0.0212
4582.1,0.0217
4583.1,0.0217
4584.1,0.021
4585.1,0.0205
4586.1,0.0201
4587.1,0.0194
4588.1,0.019
4589.1,0.0194
4590.1,0.02
4591.1,0.0209
4592.1,0.021
4593.1,0.0212
4594.1,0.021
4595.1,0.0199
4596.1,0.0192
4597.1,0.0191
4598.1,0.0188
4599.1,0.0188
4600.1,0.0183
4601.1,0.0183
4602.1,0.018
4603.1,0.0179
4604.1,0.0182
4605.1,0.0184
4606.1,0.0189
4607.1,0.0192
4608.1,0.0195
4609.1,0.0194
4610.1,0.0192
4611.1,0.0189
4612.1,0.0187
4613.1,0.0185
4614.1,0.0184
4615.1,0.0186
4616.1,0.0189
4617.1,0.019
4618.1,0.0189
4619.1,0.019
4620.1,0.0189
4621.1,0.0187
4622.1,0.0182
4623.1,0.0185
4624.1,0.0181
4625.1,0.0183
4626.1,0.0188
4627.1,0.0192
4628.1,0.0195
4629.1,0.0194
4630.1,0.0195
4631.1,0.0191
4632.1,0.0188
4633.1,0.0186
4634.1,0.0188
4635.1,0.0184
4636.1,0.0184
4637.1,0.018
4638.1,0.0181
4639.1,0.018
4640.1,0.0181
4641.1,0.0179
4642.1,0.0179
4643.1,0.0184
